Right Speed, Left Speed
52.008643025940316, 47.991357803633456
51.971088511864764, 48.028912262908186
51.934553031741615, 48.06544769224362
51.89901101142656, 48.10098966547383
51.86443730403918, 48.13556332919357
51.830807213681844, 48.16919337903757
51.79809651568791, 48.201904039430424
51.7662814729282, 48.23371904727844
51.73533884931059, 48.26466163846861
51.70524592029496, 48.294754537352205
51.675980480686, 48.3240199489506
51.647520850349295, 48.352479553238084
51.61984587774808, 48.38015450160393
51.59293494160686, 48.40706541518772
51.56676795104913, 48.43323238474086
51.54132534421183, 48.45867497201101
51.51658808553379, 48.483412212453075
51.492537662088885, 48.50746261889519
51.469156078822316, 48.53084418630177
51.44642585294145, 48.55357439738212
51.42433000769073, 48.57567022881495
51.40285206536833, 48.597148158231136
51.38197603991515, 48.61802417162429
